,Team ID,Money Line,Total,Run Line
0,la-dodgers-dodgers,-237,8.5,-1.5 -141
1,cincinnati-reds,194,8.5,+1.5 +118
2,chi-sox-white-sox,110,8.5,+1.5 -194
3,cleveland-guardians,-131,8.5,-1.5 +160
4,sacramento-athletics,187,8,+1.5 -116
5,tampa-bay-rays,-228,8,-1.5 -103
6,milwaukee-brewers,-254,7.5,-1.5 -143
7,pittsburgh-pirates,206,7.5,+1.5 +119
8,philadelphia-phillies,-216,8,-1.5 -122
9,washington-nationals,178,8,+1.5 +101
10,detroit-tigers,115,8.5,+1.5 -185
11,toronto-blue-jays,-138,8.5,-1.5 +153
12,baltimore-orioles,110,8,+1.5 -194
13,ny-mets-mets,-131,8,-1.5 +160
14,atlanta-braves,118,8.5,+1.5 -181
15,chi-cubs-cubs,-140,8.5,-1.5 +150
16,ny-yankees-yankees,-175,8,-1.5 -103
17,minnesota-twins,146,8,+1.5 -116
18,sf-giants-giants,139,8,+1.5 -156
19,st-louis-cardinals,-167,8,-1.5 +129
20,boston-red-sox,-125,8,-1.5 +138
21,texas-rangers,105,8,+1.5 -166
22,kansas-city-royals,138,8,+1.5 -158
23,houston-astros,-166,8,-1.5 +131
24,san-diego-padres,-198,11.5,-1.5 -125
25,colorado-rockies,165,11.5,+1.5 +104
26,seattle-mariners,-169,8,-1.5 -101
27,la-angels-angels,142,8,+1.5 -119
28,miami-marlins,130,8.5,+1.5 -168
29,arizona-diamondbacks,-155,8.5,-1.5 +140
