#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Mason Fluharty,TOR,0,27,0,0,0.0%,50.0%,-50.0%,0,3,0,100.0%,0,288,345,0,12.1,-12.1,14.37,16.99
2,Bennett Sousa,HOU,0,27,0,0,0.0%,40.0%,-40.0%,0.333,4.5,0.333,66.7%,327,294,400,13.5,12.1,1.4,16.64,14.83
3,Brycen Mautz,STL,0,27,0,9,0.0%,30.0%,-30.0%,0.4,5,0.25,71.4%,654,750,536,27,31.1,-4.1,22.64,11.6
4,Jordan Hicks,CHW,13.5,27,0.5,0,20.0%,40.0%,-20.0%,0.333,4.5,0.5,0.0%,974,215,219,40.5,9.1,31.4,9.1,10.22
5,Corbin Burnes,ARI,6,6,1,0,15.4%,15.4%,0.0%,0.182,1.33,0.222,100.0%,0,91,173,0,3.77,-3.77,7.29,7.87
6,Miguel Ullola,HOU,0,0,0,0,0.0%,0.0%,0.0%,0,0,0,100.0%,0,75,147,0,3.1,-3.1,6.12,7.66
7,Mason Barnett,ATH,6.75,13.5,0.5,3.38,11.1%,22.2%,-11.1%,0.5,4.13,0.545,52.1%,451,250,188,20.25,10.98,9.27,7.8,7.55
8,Mitch Bratt,ARI,4.35,6.97,0.63,0,9.8%,15.7%,-5.9%,0.279,1.94,0.316,55.0%,185,108,175,7.84,4.46,3.38,7.38,7.42
9,Javier Assad,CHC,5.79,9.64,0.6,0,15.0%,25.0%,-10.0%,0.2,1.71,0.25,62.5%,140,121,134,5.79,5.03,0.75,5.68,7.41
10,José Urquidy,CHW,6,12,0.5,0,9.5%,19.0%,-9.5%,0.4,3.33,0.462,58.3%,361,184,247,15,7.77,7.23,10.29,7.38
11,Zac Gallen,ARI,2.7,5.4,0.5,2.7,6.7%,13.3%,-6.7%,0.308,1.8,0.273,87.0%,64,199,166,2.7,8.2,-5.5,7.02,7.38
12,Michael Lorenzen,COL,2.45,7.36,0.33,2.45,5.3%,15.8%,-10.5%,0.267,1.91,0.231,30.3%,310,213,187,14.73,9.38,5.35,7.89,7.32
13,Matt Waldron,WSN,4.5,4.5,1,0,11.1%,11.1%,0.0%,0.25,1.5,0.286,100.0%,0,84,157,0,3.6,-3.6,6.62,6.91
14,Edward Cabrera,CHC,4.91,7.36,0.67,2.45,10.0%,15.0%,-5.0%,0.353,2.45,0.357,26.3%,417,193,174,17.18,8.01,9.17,7.35,6.85
15,Cade Gibson,MIA,6.75,6.75,1,0,14.3%,14.3%,0.0%,0.333,2.25,0.4,66.7%,158,91,172,6.75,3.85,2.9,7.25,6.65
16,Kade Morris,ATH,0,3.38,0,3.38,0.0%,7.1%,-7.1%,0.417,2.25,0.364,35.7%,376,233,169,16.88,10.23,6.65,7.05,6.44
17,Ronel Blanco,HOU,6.75,6.75,1,0,17.6%,17.6%,0.0%,0.214,1.5,0.273,100.0%,0,94,138,0,3.85,-3.85,5.74,6.33
18,Sean Burke,CHW,7.52,7.52,1,1.33,17.2%,17.2%,0.0%,0.28,1.97,0.323,64.2%,181,139,154,7.52,5.86,1.67,6.39,6.23
19,Landen Roupp,SFG,4.64,5.06,0.92,0.42,12.4%,13.5%,-1.1%,0.169,1.17,0.185,80.5%,51,107,136,2.11,4.37,-2.26,5.74,6.11
20,Griffin Jax,TBR,3.52,3.52,1,1.17,8.8%,8.8%,0.0%,0.29,1.57,0.296,47.2%,196,124,146,8.22,5.19,3.03,6.06,6.08
21,Jacob Waguespack,DET,6.75,6.75,1,0,16.7%,16.7%,0.0%,0.2,1.5,0.25,0.0%,322,92,147,13.5,3.85,9.65,6.12,6.04
22,Braydon Fisher,TOR,4.5,4.5,1,0,14.3%,14.3%,0.0%,0,0.5,0,100.0%,0,86,123,0,3.6,-3.6,5.11,5.98
23,Ethan Pecko,HOU,5.71,5.19,1.1,2.08,14.3%,13.0%,1.3%,0.242,1.5,0.235,74.8%,126,164,146,5.19,6.74,-1.55,6.09,5.97
24,Joey Cantillo,CLE,8.14,7.77,1.05,0.74,19.6%,18.8%,0.9%,0.216,1.64,0.266,62.2%,107,130,132,4.44,5.32,-0.88,5.5,5.92
25,Logan Allen,CLE,3.86,7.71,0.5,0,7.1%,14.3%,-7.1%,0.5,3.43,0.545,37.5%,466,118,147,19.29,4.82,14.47,6.11,5.91
26,Luis Castillo,CHW,4.7,2.93,1.6,4.11,9.6%,6.0%,3.6%,0.395,2.28,0.377,69.9%,240,222,158,9.98,9.36,0.61,6.58,5.81
27,Matt Wilkinson,SFG,4.91,2.45,2,2.45,12.5%,6.3%,6.3%,0.267,1.36,0.25,48.6%,150,156,138,6.14,6.38,-0.24,5.82,5.8
28,Zach Agnos,COL,3.38,3.38,1,0,9.1%,9.1%,0.0%,0.2,1.13,0.222,100.0%,0,79,136,0,3.48,-3.48,5.74,5.8
29,Davis Martin,CHW,3.38,2.53,1.33,0.84,9.5%,7.1%,2.4%,0.231,1.13,0.235,100.0%,20,104,131,0.84,4.42,-3.57,5.46,5.8
30,Sandy Alcantara,MIA,3.99,2.76,1.44,1.53,9.9%,6.9%,3.1%,0.289,1.5,0.291,68.4%,137,129,138,5.83,5.46,0.37,5.81,5.79
31,Taylor Clarke,ARI,5.4,5.4,1,0,16.7%,16.7%,0.0%,0,0.6,0,100.0%,0,90,109,0,3.7,-3.7,4.61,5.79
32,Daniel Lynch IV,KCR,3.74,3.32,1.13,0.83,9.8%,8.7%,1.1%,0.241,1.29,0.25,64.9%,117,112,130,4.98,4.72,0.27,5.4,5.77
33,Justin Hagenman,NYM,6,3,2,0,16.7%,8.3%,8.3%,0.182,1,0.222,66.7%,73,66,137,3,2.77,0.23,5.79,5.75
34,Carson Whisenhunt,SFG,5.4,4.05,1.33,1.35,11.8%,8.8%,2.9%,0.355,2.1,0.385,55.6%,197,128,136,8.1,5.2,2.9,5.75,5.72
35,Robbie Ray,SDP,6.93,5.84,1.19,1.46,17.8%,15.0%,2.8%,0.22,1.46,0.235,72.4%,127,134,128,5.11,5.62,-0.51,5.41,5.68
36,Yunior Marte,SFG,5.79,3.86,1.5,0,16.7%,11.1%,5.6%,0.188,1.07,0.231,80.0%,47,76,127,1.93,3.1,-1.17,5.37,5.66
37,Spencer Arrighetti,TOR,7.27,5.19,1.4,3.12,15.9%,11.4%,4.5%,0.289,1.85,0.286,54.7%,226,192,161,9.35,8.06,1.28,6.7,5.62
38,Jackson Kent,WSN,6.56,5.79,1.13,0.39,15.5%,13.6%,1.8%,0.284,1.8,0.338,59.1%,153,96,124,6.56,4.13,2.43,5.26,5.59
39,Cody Bradford,TEX,4.3,2.35,1.83,1.57,10.4%,5.7%,4.7%,0.35,1.78,0.365,73.4%,144,124,134,5.87,5.19,0.68,5.56,5.59
40,Bryce Miller,SEA,8.87,7.25,1.22,2.42,20.8%,17.0%,3.8%,0.253,1.79,0.271,67.5%,187,180,126,7.25,7.18,0.08,5.24,5.57
41,Blade Tidwell,SFG,7.13,5.63,1.27,1.88,17.9%,14.2%,3.8%,0.23,1.46,0.238,62.5%,165,162,138,6.75,6.6,0.15,5.85,5.53
42,Kyle Bradish,BAL,6.75,5.14,1.31,2.25,15.7%,11.9%,3.7%,0.339,2,0.367,69.3%,150,158,133,6.11,6.57,-0.46,5.53,5.52
43,Kent Emanuel,CIN,7.2,5.4,1.33,0,17.4%,13.0%,4.3%,0.263,1.6,0.333,77.8%,84,89,142,3.6,3.9,-0.3,6.02,5.5
44,AJ Smith-Shawver,ATL,7.56,5.94,1.27,2.16,16.7%,13.1%,3.6%,0.292,1.92,0.315,62.0%,205,161,134,8.64,6.7,1.94,5.67,5.47
45,Janson Junk,MIA,4.03,2.42,1.67,0.4,10.4%,6.3%,4.2%,0.287,1.39,0.316,64.4%,123,95,129,5.24,4,1.24,5.45,5.39
46,Martín Pérez,ATL,6.39,4.62,1.38,0.71,15.4%,11.1%,4.3%,0.282,1.66,0.325,74.6%,84,105,121,3.55,4.37,-0.81,5.13,5.37
47,Brad Lord,WSN,10.8,8.1,1.33,0,25.8%,19.4%,6.5%,0.125,1.35,0.188,80.0%,63,90,129,2.7,3.85,-1.15,5.44,5.37
48,Eury Pérez,MIA,8.78,6.51,1.35,1.63,20.6%,15.3%,5.3%,0.273,1.81,0.321,63.6%,153,137,129,6.51,5.78,0.73,5.45,5.35
49,Erick Fedde,CHW,5.4,3.6,1.5,0,15.0%,10.0%,5.0%,0.167,1,0.2,80.0%,43,73,118,1.8,3.1,-1.3,4.92,5.35
50,MacKenzie Gore,TEX,7.48,5.53,1.35,0.33,17.2%,12.7%,4.5%,0.31,1.92,0.38,70.3%,135,92,125,5.53,3.86,1.67,5.19,5.33
51,Merrill Kelly,ARI,6.67,4.67,1.43,0.67,16.9%,11.9%,5.1%,0.223,1.37,0.259,71.0%,102,103,119,4.33,4.25,0.08,5.02,5.29
52,Max Scherzer,TOR,6.75,3.71,1.82,1.01,17.5%,9.6%,7.9%,0.216,1.24,0.241,53.7%,147,105,131,6.08,4.42,1.66,5.45,5.25
53,Ryan Feltner,COL,6.97,4.79,1.45,0.87,16.0%,11.0%,5.0%,0.292,1.79,0.338,43.9%,174,100,123,8.27,4.41,3.86,5.2,5.23
54,Jedixson Paez,BOS,7.36,4.91,1.5,4.91,13.0%,8.7%,4.3%,0.476,3.27,0.5,43.5%,458,245,134,19.64,10.19,9.44,5.58,5.23
55,Grant Holmes,ATL,5.2,3.58,1.45,0.65,14.0%,9.6%,4.4%,0.223,1.23,0.247,73.7%,85,98,113,3.58,4.08,-0.5,4.78,5.22
56,Ryan Johnson,LAA,6.14,3.68,1.67,1.23,17.5%,10.5%,7.0%,0.168,0.99,0.169,94.3%,52,117,122,2.15,4.84,-2.69,5.08,5.17
57,Hunter Dobbins,STL,10,7,1.43,1,25.0%,17.5%,7.5%,0.212,1.56,0.273,71.4%,121,112,112,5,4.66,0.34,4.72,5.16
58,Rhett Lowder,CIN,6.12,3.24,1.89,1.8,14.4%,7.6%,6.8%,0.303,1.68,0.322,48.6%,193,124,124,8.28,5.42,2.86,5.24,5.15
